Nuclear: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Central America,-,-,-,-,^,^,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other Caribbean,-,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other South America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Total S. & Cent. America,-,^,^,^,^,^,^,^,^,0.2,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.4,0.8,1.4,2.1,1.3,1.7,1.4,1.6,2.2,2.1,2.0,1.9,1.9,2.2,2.2,2.5,2.4,2.5,2.8,4.8,4.4,4.7,4.4,3.8,4.9,4.4,4.8,4.8,4.9,5.0,5.1,4.9,4.8,5.0,5.5,5.0,-9.0%,1.2%,0.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Belgium,-,^,^,^,^,^,-,^,^,^,1.5,2.3,2.7,2.8,2.6,2.8,2.9,3.5,5.5,6.3,7.8,8.9,9.5,9.8,9.3,9.7,9.7,9.8,9.5,9.2,9.4,9.8,10.7,10.4,11.1,10.9,10.5,10.7,10.7,10.7,10.8,10.6,10.9,10.3,10.7,10.8,10.9,9.1,9.6,7.6,5.9,9.8,9.5,-2.8%,-0.7%,1.6%
Bulgaria,-,-,-,-,-,-,-,-,-,0.2,0.6,1.1,1.3,1.3,1.4,1.4,2.1,2.4,2.8,2.9,3.0,2.7,2.8,3.6,3.3,3.3,3.0,2.6,3.2,3.5,3.9,4.1,4.0,3.8,3.6,4.1,4.4,4.6,3.9,3.8,4.2,4.4,3.3,3.6,3.5,3.5,3.7,3.6,3.2,3.6,3.5,3.6,3.5,-1.2%,-2.1%,0.6%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,1.4,2.4,2.7,2.8,2.8,2.7,2.8,2.9,2.9,2.8,2.9,2.8,3.0,3.0,3.1,3.3,4.2,5.9,6.0,5.6,5.9,5.9,6.0,6.2,6.3,6.4,6.9,7.0,6.9,6.1,5.5,6.4,17.9%,-0.8%,1.1%
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Estonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Finland,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.7,1.5,1.6,3.3,3.8,4.0,4.2,4.3,4.3,4.4,4.4,4.3,4.3,4.4,4.3,4.5,4.4,4.3,4.4,4.8,5.0,5.3,5.1,5.2,5.1,5.2,5.2,5.3,5.2,5.4,5.3,5.4,5.2,5.3,5.3,5.4,5.4,5.3,5.3,5.1,-2.9%,0.1%,0.9%
France,0.2,0.4,0.7,0.8,1.1,1.3,2.1,3.3,3.3,3.3,4.1,3.6,4.1,6.9,9.0,13.9,23.8,24.6,32.6,43.3,50.7,57.5,60.1,62.3,68.8,71.1,75.0,76.6,83.3,81.5,85.4,89.9,89.5,87.8,89.2,93.9,95.3,98.8,99.8,101.4,102.2,101.9,99.5,99.4,92.7,97.0,100.1,96.3,95.9,98.8,99.0,91.2,90.1,-0.9%,-1.1%,15.1%
Germany,^,0.1,0.3,0.5,1.2,1.5,1.4,2.2,2.7,3.3,5.5,6.7,9.3,9.9,11.8,12.6,14.8,16.8,17.7,23.6,31.4,29.5,32.1,35.5,36.6,34.5,33.4,35.9,34.7,34.2,34.9,36.6,38.5,36.6,38.5,38.4,38.8,37.3,37.3,37.8,36.9,37.9,31.8,33.7,30.5,31.8,24.4,22.5,22.0,22.0,20.8,19.2,17.2,-10.1%,-6.6%,2.9%
Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.6,0.9,1.5,1.7,2.5,3.0,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.5,2.7,3.1,3.0,3.3,3.4,3.5,3.6,3.5,3.6,3.5,3.5,3.6,3.6,3.6,0.5%,1.8%,0.6%
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Italy,0.8,0.9,0.7,0.6,0.4,0.7,0.8,0.9,0.7,0.7,0.8,0.9,0.8,1.0,1.1,1.1,1.2,2.1,1.9,1.5,1.6,2.0,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Latvia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.1,2.2,2.1,2.9,3.8,3.9,3.8,3.3,2.8,1.7,2.7,3.2,2.7,3.1,2.2,1.9,2.6,3.2,3.5,3.4,2.3,2.0,2.2,2.2,2.5,-,-,-,-,-,-,-,-,_,_,_
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Netherlands,-,-,-,^,0.1,0.1,0.1,0.1,0.3,0.7,0.7,0.8,0.8,0.8,0.7,0.9,0.8,0.8,0.8,0.8,0.9,1.0,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1.0,0.9,1.0,0.9,0.9,0.9,0.7,0.9,0.9,0.9,1.2,35.2%,1.3%,0.2%
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Poland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.3,1.3,1.7,2.5,2.7,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.3%,7.2%,0.4%
Slovakia,-,-,-,-,-,-,-,^,0.1,0.1,^,0.1,^,^,0.5,1.0,1.2,1.3,1.4,1.6,2.1,2.7,2.6,2.6,2.8,2.7,2.6,2.5,2.6,2.8,2.6,2.5,2.5,2.6,3.0,3.7,3.9,4.1,4.0,3.9,4.0,4.1,3.5,3.8,3.2,3.3,3.5,3.5,3.6,3.5,3.4,3.3,3.2,-4.3%,-2.0%,0.5%
Slovenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.1,0.9,0.9,1.0,1.1,1.0,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.2,1.3,1.3,1.3,1.4,1.3,1.3,1.4,1.3,1.2,1.4,1.3,1.3,1.4,10.3%,0.3%,0.2%
Spain,-,-,-,^,0.2,0.2,0.6,1.1,1.5,1.6,1.7,1.7,1.5,1.7,1.5,1.2,2.2,2.0,2.4,5.2,6.3,8.5,9.3,11.4,12.7,12.3,12.6,12.6,12.7,12.5,12.5,12.7,12.5,13.3,13.3,14.1,14.4,14.3,14.0,14.4,13.0,13.6,12.5,13.3,11.9,13.9,13.1,13.9,12.8,13.0,13.0,13.3,13.1,-0.6%,-0.3%,2.2%
Sweden,^,^,^,^,^,^,^,0.3,0.5,0.5,2.7,3.6,4.5,5.4,4.8,6.0,8.5,8.8,9.3,11.5,13.3,15.8,15.2,15.7,14.8,15.4,17.4,14.4,13.9,16.6,15.8,16.8,15.8,16.6,16.6,13.0,16.3,15.4,15.3,17.6,16.4,15.2,15.2,14.5,11.8,13.1,13.7,14.5,15.0,14.7,12.8,14.3,14.9,4.4%,-0.6%,2.5%
Switzerland,-,-,-,-,0.1,0.6,0.6,0.8,1.4,1.4,1.7,1.8,1.8,1.8,2.1,3.1,3.3,3.2,3.3,3.9,5.1,5.1,5.2,5.2,5.2,5.3,5.2,5.3,5.3,5.5,5.6,5.7,5.8,5.8,5.6,6.0,6.0,6.1,6.2,6.1,5.2,6.3,6.3,6.2,6.2,6.0,6.1,5.8,5.9,6.3,5.3,5.2,4.6,-11.2%,-1.9%,0.8%
Turkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
United Kingdom,3.4,4.6,5.3,5.9,6.6,5.9,6.2,6.6,6.3,7.6,6.9,8.2,9.1,8.4,8.7,8.4,8.6,10.0,11.3,12.2,13.8,13.4,12.5,14.4,16.2,14.9,16.0,17.4,20.2,20.0,20.1,21.4,22.2,22.5,21.5,19.2,20.4,19.9,20.1,18.1,18.5,17.1,14.3,11.9,15.6,14.1,15.6,15.9,16.0,14.4,15.9,16.2,15.9,-1.7%,-0.5%,2.7%
Other Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.6,0.9,1.0,0.9,0.9,1.0,0.9,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Total Europe,4.5,5.9,7.0,7.8,9.7,10.3,11.8,15.3,16.8,19.5,26.2,30.7,36.5,40.9,45.7,53.9,72.7,80.1,94.3,119.0,145.4,157.6,162.6,175.2,185.7,185.2,190.7,192.5,200.4,199.9,205.1,215.6,218.0,217.0,219.2,219.8,227.6,230.2,231.6,234.3,231.1,230.3,218.0,218.4,208.6,213.4,211.3,205.5,204.4,204.6,199.3,195.2,192.5,-1.1%,-1.6%,32.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,^,-,0.1,0.1,0.1,0.1,^,^,0.1,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.5,23.8,28.2,30.5,30.9,26.8,27.1,27.1,27.0,22.1,22.5,24.7,24.6,23.5,27.6,29.6,31.0,32.0,34.0,32.7,33.8,35.4,36.2,36.9,37.0,38.6,39.1,40.2,39.0,40.9,44.2,44.5,46.0,3.6%,2.3%,7.7%
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.1,9.7,11.4,16.3,15.1,17.2,17.0,16.7,17.0,15.6,16.0,18.0,18.0,17.0,16.3,17.5,17.2,17.6,18.4,19.7,20.1,20.4,20.9,20.3,18.8,20.2,20.4,20.4,18.8,20.0,19.8,18.3,19.4,6.0%,-1.1%,3.2%
USSR,0.4,0.5,0.5,0.7,0.8,1.0,1.2,2.2,3.2,4.9,6.5,8.6,11.5,11.9,13.5,16.7,19.7,22.7,25.2,32.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.2,0.6,1.0,1.1,0.3,-,-,-,-,-,0.1,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.6,10.3%,-1.0%,0.1%
Total CIS,0.4,0.5,0.5,0.7,0.8,1.0,1.2,2.2,3.2,4.9,6.5,8.6,11.5,11.9,13.5,16.7,19.7,22.7,25.2,32.5,35.7,34.1,40.6,47.9,46.2,44.0,44.3,43.9,44.1,37.8,38.6,43.2,43.0,40.9,44.4,47.5,48.7,50.2,52.9,52.9,54.5,56.4,57.7,57.8,56.3,59.3,60.1,61.1,58.4,61.5,64.7,63.3,65.9,4.4%,1.2%,11.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.3,1.0,0.9,0.8,1.5,1.6,7.8%,_,0.3%
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Israel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Total Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.3,1.0,0.9,0.8,1.5,1.6,7.8%,_,0.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Egypt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Morocco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,1.2,2.0,1.4,2.4,2.5,1.9,2.1,2.1,1.6,2.2,2.6,2.7,2.9,3.1,2.9,2.9,2.4,2.7,2.9,3.0,2.6,2.3,2.6,2.9,2.9,3.1,2.9,2.9,3.2,3.1,2.8,3.6,3.6,-0.7%,4.7%,0.6%
Eastern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Middle Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Western Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other Northern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Total Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,1.2,2.0,1.4,2.4,2.5,1.9,2.1,2.1,1.6,2.2,2.6,2.7,2.9,3.1,2.9,2.9,2.4,2.7,2.9,3.0,2.6,2.3,2.6,2.9,2.9,3.1,2.9,2.9,3.2,3.1,2.8,3.6,3.6,-0.7%,4.7%,0.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,_,_
